Title,Abstract
MICROFLUIDIC-BASED CELL-CULTURING PLATFORM AND METHOD,"A microfluidic-based platform with cultured three-dimensional tissues simulates major human physiological systems for rapid evaluation of individual drugs prior to clinical testing or for personalized medical applications. The platform integrates the circulatory and lymphatic systems in a physiologically correct manner. The physiological systems may be simulated in the platform by microfluidic tissue culture devices which accommodate various tissues and provide integrated microvascular and lymphatic systems. Biomimetic nanofiber meshes or microfiber structures may be used to provide the cells with a physiologically relevant substrate. Each device may have an on-board detection system utilizing optical fiber bundles for microarray multiplexing of biomarkers, label-free SERS measurement of drugs, and microendoscopic confocal imaging of cells and tissues."
PRODUCTION METHOD FOR FLAX YARN DRESSING MATERIAL AND FLAX YARN DRESSING MATERIAL,"The subject of the invention is a method for the production of a flax yarn dressing material that is characterized by the fact that the dressing is made of unmodified dry fibre twisted into a knitted product, where the yarn is rewound on a rewinder before knitting and unevenness is smoothed during rewinding by using paraffin or wax cubes to reduce friction and smooth out unevenness, whereas the yarn is rewound at least once and an amount of paraffin used to reduce friction is from 0.0015 to 0.0025 kg per 1 kg of yarn or wax in the amount from 0.00075 to 0.0015 kg per 1 kg of yarn and the speed of rewinding ranges from 300 to 600 rpm and then the dressing material is formed in knitting process using a knitting weave. The invention also relates to a dressing material using flax fibres."
MAGNESIUM COMPOSITIONS AND METHODS OF USE,"The present invention provides a method of administering magnesium threonate to a subject in need of supplementing magnesium. At least a portion of magnesium (Mg) and threonate (T) is present in a salt form of MgT2. The method may comprise administration of magnesium threonate at two different time points per day. The method may comprise administering, at a first time point, a first oral dosage form comprising magnesium threonate. The method may comprise administering, at a second time point, a combination of the first oral dosage form and a second oral dosage form comprising magnesium threonate. The first and second oral dosage forms may exhibit different dissolution profiles in a dissolution medium."
"ZINC PICOLINATE, MAGNESIUM PICOLINATE AND SELENIUM METHIONINE COMPOSITIONS AND METHODS OF USE","The present application relates to zinc picolinate, magnesium picolinate and selenium methionine compositions and methods of use. The methods and compositions disclosed herein are particularly useful for optimizing antioxidant and hormone levels and improving bone mineral density."
PROCESS AND SYSTEM FOR IDENTIFYING INDIVIDUALS HAVING A HIGH RISK OF INFLAMMATORY BOWEL DISEASE AND A METHOD OF TREATMENT,"A process and system directed to a more effective, individual based treatment regimen which is built on clinical identified predictive target biomarkers associated with predicting the risk of an individual developing IBD and includes one or more predictive panels of prediction target biomarkers that are used to determine the risk of an individual developing IBD for determining if a therapy should be administered to reduce the risk and further determines the efficacy of treating the individual with mesalamine and effectively identifies and validates novel drug targets for new IBD therapeutics, new diagnostics and diagnostics standards for IBD therapeutic strategies."
COMPOSITIONS AND METHODS TO IMPROVE THE THERAPEUTIC BENEFIT OF SUBOPTIMALLY ADMINISTERED CHEMICAL COMPOUNDS INCLUDING SUBSTITUTED HEXITOLS SUCH AS DIANHYDROGALACTITOL AND DIACETYLDIANHYDROGALACTITOL,The present invention describes methods and compositions for improving the therapeutic efficacy of therapeutic agents previously limited by suboptimal therapeutic performance by either improving efficacy as monotherapy or reducing side effects. Such methods and compositions are particularly applicable to substituted hexitols such as dianhydrogalactitol and diacetyldianhydrogalactitol.
COSMETIC AND FACIAL REGENERATION COMPOSITION DERIVED FROM POTENTIATED ADIPOSE DERIVED CELLS AND SUPERNATANTS THEREOF,"This patent discloses new data supporting superior collagen induction by cosmetically useful preparations derived from adipose stem cells that have been manipulated for superior growth factor and anti-aging properties. In one embodiment cellular mixtures derived from adipose tissue are composed, induced to produce regenerative factors, with said regenerative factors harvested and compounded into cosmetic preparations. In one embodiment, the invention provides for manufacture of adipose derived regenerative factor (ARDF), which may be utilized as a cosmetic and skin rejuvenating agent."
COSMETIC COMPOSITIONS,"According to the present invention there is provided a container comprising a flexible wall and a dispensing head, wherein the dispensing head is not detachable from the rest of the container during normal use"
SYSTEM AND METHODS FOR PERSONALIZED PILL COMPOUNDING,"The present invention involves an automated pill compounding system, and associated processes and methods, for compounding encapsulated medications as prescribed for individual patients. The invention involves adaptation of micro-dosing technology, which enables sufficiently small and precise amounts of drug API or formulation to be reliably dispensed into capsules while avoiding need for non-therapeutic or non-functional excipient. Utilizing such capability to perform compounding requires relevant systems configured and applied to receive and execute patient-specific information in discrete runs. The invention combines the principle of custom compounding with principles of precision capsule micro-dosing/filling. Benefits to facilitating personalized medicine include expanding usage of polypills and the resultant reductions in medication administration and compliance errors, as well as enhancing dosage options to better account for patient demographics, condition severity, genetic profile, etc. Another advantage is improved availability of drugs whose mass-produced versions may be limited. Compliance packaging can also be enhanced for high-pill-burden patients."
Cartridge-based pharmacy compounding system,"A pharmaceutical compounding system having automated micro-dosing capability and using exchangeable source containers containing respective drugs, the system comprising an automated capsule-filling machine configured for compounding: an interface configured for receiving of prescription information for particular patients"
Method of making a pharmacy compounding system,"A method of making a pharmaceutical compounding system having automated micro-dosing capability, the method comprising identifying a technology that can facilitate controlled and automated dispensation of material, such that the dispensation does not necessitate augmentation of material by mass or volume to aid with measurement or manipulation in order to achieve a level of dispensing precision that can be medically acceptable for at least some drug substances"
INGREDIENT CARTRIDGE FOR PHARMACY COMPOUNDING SYSTEM,Cartridges for containing ingredients for producing patient-specific drug products using micro-dosing systems in compounding pharmacy.
METHOD OF MAKING A PHARMACY COMPOUNDING SYSTEM,A method of making a system with automated micro-dosing capability for compounding of drug products customized for particular patients.
Cosmetic Compositions,"A container comprising a flexible wall and a dispensing head, wherein the dispensing head is not detachable from the rest of the container during normal use"
Methods and compositions relating to microbial treatment and diagnosis of disorders,"The present disclosure provides methods, systems, compositions, and kits to address the need for microbiome-related treatment of health conditions and disease. The present disclosure provides for treatment of metabolic conditions using microbial compositions."
NON-INVASIVE IMAGING METHODS OF DIAGNOSING PERIPHERAL ARTERIAL DISEASE,"The present invention provides a method of determining whether a subject is suffering or at a risk of developing a peripheral arterial disease via Positron Emitting Tomography (PET) imaging technology. The method comprises administering a PET radionuclide into the subject via automated generation and/or infusion system, performing PET scan of the region of interest, automated assessment of the PET images, performing assessment and suggesting the most appropriate therapeutic and/or management options for the patients based on the severity score. The patient can be concurrently suffering from one or more disease like diabetes mellitus."
Method and system for making customized formulations for individuals,"The one or more embodiments disclosed herein provide a method for automatically assembling multiple compounds into a single edible custom composition, in which each compound is individually customized to proportions formulated from a profile of an individual or group. The single custom mixture can contain a plurality of compounds including foods or flavors, nutritional additives, herbals, biologics, or pharmacologically active substances. Using the method and a related algorithm, the formulation of a custom mixture is suggested."
DIRECT TO CONSUMER GENOTYPE-BASED PRODUCTS AND SERVICES,"In one embodiment, a method of providing genotype-based information is described that comprises receiving one or more genotype calls that each identify a fraction of an individuals' genetic composition"
COMPOSITION COMPRISING HECTORITE AND PECTIN,"Composition comprising hectorite and pectin The present invention relates to a gel-type composition, preferably a cosmetic composition, comprising at least one pectin and an unmodified hectorite. The invention also relates to a cosmetic process comprising at least one step that consists in applying a composition as defined above to the skin and/or the hair."
"3-(phenyl)-N-(4-phenoxybenzyl)-1,2,4-oxadiazole-5-carboxamide Compounds for the Management of CFTR Protein Mediated Diseases","This disclosure relates to methods of treating or preventing cystic fibrosis transmembrane conductance regulator (CFTR) mediated diseases such as cystic fibrosis, chronic obstructive pulmonary disease, chronic pancreatitis, chronic bronchitis, asthma, mucus formation, comprising administering an effective amount of a 3-(phenyl)-N-(4-phenoxybenzyl)-1,2,4-oxadiazole-5-carboxamide compound, salt, or derivative thereof to a subject in need thereof. In certain embodiments, the 2-amino-N′-benzylidene-acetohydrazide compound is 3-(3,5-dibromo-4-hydroxyphenyl)-N-(4-phenoxybenzyl)-1,2,4-oxadiazole-5-carboxamide."
"3-(PHENYL)-N-(4-PHENOXYBENZYL)-1,2,4-OXADIAZOLE-5-CARBOXAMIDE COMPOUNDS FOR THE MANAGEMENT OF CFTR PROTEIN MEDIATED DISEASES","This disclosure relates to methods of treating or preventing cystic fibrosis transmembrane conductance regulator (CFTR) mediated diseases such as cystic fibrosis, chronic obstructive pulmonary disease, chronic pancreatitis, chronic bronchitis, asthma, mucus formation, comprising administering an effective amount of a 3-(phenyl)-N-(4-phenoxybenzyl)-1,2,4-oxadiazole-5-carboxamide compound, salt, or derivative thereof to a subject in need thereof. In certain embodiments, the 2-amino-N'-benzylidene-acetohydrazide compound is 3-(3,5-dibromo-4-hydroxyphenyl)-N-(4-phenoxybenzyl)-1,2,4-oxadiazole-5-carboxamide."
"3-(phenyl)-N-(4-phenoxybenzyl)-1,2,4-oxadiazole-5-carboxamide compounds for the management of CFTR protein mediated diseases","This disclosure relates to methods of treating or preventing cystic fibrosis transmembrane conductance regulator (CFTR) mediated diseases such as cystic fibrosis, chronic obstructive pulmonary disease, chronic pancreatitis, chronic bronchitis, asthma, mucus formation, comprising administering an effective amount of a 3-(phenyl)-N-(4-phenoxybenzyl)-1,2,4-oxa-diazole-5-carboxamide compound, salt, or derivative thereof to a subject in need thereof. In certain embodiments, the 2-amino-N-benzylidene-acetohydrazide compound is 3-(3,5-dibromo-4-hydroxyphenyl)-N-(4-phenoxybenzyl)-1,2,4-oxadiazole-5-carboxamide."
COMPOSITIONS AND METHODS TO IMPROVE THE THERAPEUTIC BENEFIT OF SUBOPTIMALLY ADMINISTERED CHEMICAL COMPOUNDS INCLUDING SUBSTITUTED HEXITOLS SUCH AS DIBROMODULCITOL,The present invention describes methods and compositions for improving the therapeutic efficacy of therapeutic agents previously limited by suboptimal therapeutic performance by either improving efficacy as monotherapy or reducing side effects. Such methods and compositions are particularly applicable to substituted hexitols such as dibromodulcitol.
CHANNEL MODULATORS,"The inventions relate to compositions and articles of manufacture comprising connexin modulators, pannexin modulators, gap junction modulators, hemichannel modulators, and pannexin channel modulators and their use, alone or in combination, in treating ocular and other disorders."
2-amino-N′-benzylideneacetohydrazides and derivatives for the management of CFTR protein mediated diseases,"This disclosure relates to methods of treating or preventing cystic fibrosis transmembrane conductance regulator (CFTR) mediated diseases such as cystic fibrosis, chronic obstructive pulmonary disease, chronic pancreatitis, chronic bronchitis, asthma, mucus formation, comprising administering an effective amount of a 2-amino-N′-benzylidene-acetohydrazide compound or derivative thereof to a subject in need thereof. In certain embodiments, the 2-amino-N′-benzylidene-acetohydrazide compound is ((E)-N′-(3,5-dibromo-2,4-dihydroxybenzylidene)-2-(m-tolylamino)acetohydrazide"
2-AMINO-N'-BENZYLIDENEACETOHYDRAZIDES AND DERIVATIVES FOR THE MANAGEMENT OF CFTR PROTEIN MEDIATED DISEASES,"This disclosure relates to methods of treating or preventing cystic fibrosis transmembrane conductance regulator (CFTR) mediated diseases such as pancreatitis, chronic bronchitis, asthma, mucus formation, comprising administering an effective amount of a 2-amino-N'-benzylidene-acetohydrazide compound or derivative thereof to a subject in need thereof. In certain embodiments, the 2-amino-N'-benzylidene-acetohydrazide compound is ((E)-N'-(3,5-dibromo-2,4-dihydroxybenzylidene)-2-(m-tolylamino)acetohydrazide"
USE OF GALECTIN-3 FOR RISK ASSESSMENT AND DETECTION OF PREECLAMPSIA AND RELATED CONDITIONS,"Described herein are materials and methods for predicting and/or monitoring preeclampsia and related conditions, including eclampsia, HELLP (hemolysis, elevated liver enzymes, and low platelet count) syndrome, left ventricular dysfunction, and heart failure, in a pregnant or post-partum woman. More specifically, use of the endogenous protein galectin-3 in predicting and/or monitoring preeclampsia and related conditions in a pregnant or post-partum woman is described. Also described are methods of preventing and/or treating preeclampsia and related conditions by inhibiting galectin-3."
2-amino-N'-benzylideneacetohydrazides and Derivatives for the Management of CFTR Protein Mediated Diseases,"This disclosure relates to methods of treating or preventing cystic fibrosis transmembrane conductance regulator (CFTR) mediated diseases such as cystic fibrosis, chronic obstructive pulmonary disease, chronic pancreatitis, chronic bronchitis, asthma, mucus formation, comprising administering an effective amount of a 2-amino-N′-benzylidene-acetohydrazide compound or derivative thereof to a subject in need thereof. In certain embodiments, the 2-amino-N-benzylidene-acetohydrazide compound is ((E)-N′-(3,5-dibromo-2,4-dihydroxybenzylidene)-2-(m-tolylamino)acetohydrazide"
2-AMINO-N'-BENZYLIDENEACETOHYDRAZIDES AND DERIVATIVES FOR THE MANAGEMENT OF CFTR PROTEIN MEDIATED DISEASES,"This disclosure relates to methods of treating or preventing cystic fibrosis transmembrane conductance regulator (CFTR) mediated diseases such as cystic fibrosis, chronic obstructive pulmonary disease, chronic pancreatitis, chronic bronchitis, asthma, mucus formation, comprising administering an effective amount of a 2-amino-N'-benzylidene-acetohydrazide compound or derivative thereof to a subject in need thereof. In certain embodiments, the 2-amino-N'-benzylidene-acetohydrazide compound is ((E)-N'-(3,5-dibromo-2,4-dihydroxybenzylidene)-2-(m-tolylamino)acetohydrazide"
Beverage immersate with detection capability,"Methods and systems described herein include beverage immersates and methods of their use. Systems include: at least one beverage immersate, wherein the at least one beverage immersate includes at least one sensor configured to detect at least one analyte in a fluid within a personal use beverage container"
Multi-component formulations for the treatment of cognitive decline including Alzheimer's disease,"A multi-component formulation for the treatment, delay, and/or prevention of cognitive decline, including Alzheimer's disease, and/or other neurodegenerative diseases. One embodiment of the multi-component formulation comprises methylsulfonylmethane, at least one energy source component, and at least one of an herbal component or a nutritional component. In one formulation, the energy source component is fructose 1,6-diphosphate. An herbal component of at least one formulation is curcumin. In one further formulation, a nutritional component is a component of green tea such as epigallocatechin-3-gallate."
Means and methods for predicting cardiovascular complications in subjects suffering from osteoporosis,"The present invention relates to a method of predicting whether a subject suffering from a bone mineral disorder (e.g. osteoporosis) is at risk of developing cardiovascular complications comprising determining the amount of a natriuretic peptide in a sample of said subject and predicting whether the said subject is at risk of developing cardiovascular complications by comparing the amount to a reference amount. Moreover, the method relates to devices and kits for carrying out said method. The preferred natriuretic peptide marker is proBNP."
MEANS AND METHODS FOR PREDICTING CARDIOVASCULAR COMPLICATIONS IN SUBJECTS SUFFERING FROM OSTEOPOROSIS,"The present invention relates to a method of predicting whether a subject suffering from a bone mineral disorder (e.g. osteoporosis) is at risk of developing cardiovascular complications comprising determining the amount of natriuretic peptide (e.g. NT-pro BNP) in a sample of said subject and predicting whether the said subject is at risk of developing cardiovascular complications by comparing the amount to a reference amount. Moreover, the method relates to devices and kits for carrying out said method."
Multi-component formulations for the treatment of cognitive decline including Alzheimer's disease,"A multi-component formulation for the treatment, delay, and/or prevention of cognitive decline, including Alzheimer's disease, and/or other neurodegenerative diseases. One embodiment of the multi-component formulation comprises methylsulfonylmethane, at least one energy source component, and at least one of an herbal component or a nutritional component. In one formulation, the energy source component is fructose 1,6-disphosphate. An herbal component of at least one formulation is curcumin. In one further formulation, a nutritional component is selected from the group consisting of docosahexaenoic acid, resveratrol, and blueberry."
Dental composition comprising chelator and base,"Non-toxic consumable compositions and formulations having chelator and base are disclosed with synergistic effects on microbial metabolism and/or growth and/or pathogenic effectors and their use to promote and maintain health in mammals. The non-toxic consumable compositions have more than one chelator and/or more than one base. Methods for selecting said chelator and base composition and methods for detecting conditions in which selected compositions may be used are also disclosed. The synergistic compositions and methods can be used for maintaining health, promoting health and treating diseases."
Dermal composition comprising chelator and base,"The present invention relates to non-toxic consumable compositions and formulations comprising chelator and base having synergistic effects on microbial metabolism and/or growth and/or pathogenic effectors and their use to promote and maintain health in mammals. The current invention also relates to non-toxic consumable compositions comprising more than one chelator and/or more than one base. The present invention further relates to methods for selecting said chelator and base composition and methods for detecting conditions in which selected compositions may be used. The present invention relates to the synergistic compositions and methods of their use for maintaining health, promoting health and treating diseases."
DENTAL COMPOSITION COMPRISING CHELATOR AND BASE,"The present invention relates to non-toxic consumable compositions and formulations comprising chelator and base having synergistic effects on microbial metabolism and/or growth and/orpathogenic effectors and their use to promote and maintain health in mammals. The current invention also relates to non-toxic consumable compositions comprising more than one chelator and/or more than one base. The present invention further relates to methods for selecting said chelator and base composition and methods for detecting conditions in which selected compositions may be used. The present invention relates to the synergistic compositions and methods of their use for maintaing health, promoting health and treating diseases."
Device for Selectively Reducing Absorption of Unhealthy Food,"This invention is a device and method for selectively and automatically reducing absorption of unhealthy food in a person's gastrointestinal tract, while allowing normal absorption of healthy food. In an example, such a device can comprise: a food-identifying sensor"
COMPOSITIONS AND METHODS TO IMPROVE THE THERAPEUTIC BENEFIT OF SUBOPTIMALLY ADMINISTERED CHEMICAL COMPOUNDS INCLUDING SUBSTITUTED HEXITOLS SUCH AS DIBROMODULCITOL,"The present invention describes methods and compositions for improving the therapeutic efficacy of therapeutic agents previously limited by suboptimal therapeutic performance by either improving efficacy as monotherapy or reducing side effects. Such methods and compositions are particularly applicable to substituted hexitols such as dibromodulcitol or analogs, derivatives, or prodrugs thereof."
ASSOCIATION OF A VICHY THERMAL WATER AND AN EXTRACT OF AT LEAST ONE BACTERIUM FROM THE SPECIES VITREOSCILLA FILIFORMIS CULTURED ON A MEDIUM COMPRISING AT LEAST ONE VICHY THERMAL WATER,"The present invention relates to an association of a Vichy thermal water and an extract of at least one bacterium from the species Vitreoscilla filiformis cultured on a medium comprising at least one Vichy thermal water, to a composition comprising said association, to a cosmetic treatment process comprising the application to keratin materials of said cosmetic composition for caring for keratin materials, in particular the skin"
WEIGHING AND CHARACTERIZING MATERIALS BY ACOUSTIC LEVITATION,"The invention relates to a method of determining the weight of a material which is in the form of a solid particle or a liquid droplet, comprising introducing said material into an acoustic levitation field, so that it is positioned and kept in position by an acoustic node of a standing wave in the acoustic levitation field, determining the position of the material and using the position information to determine the weight of the material"
USE OF SUBSTITUTED HEXITOLS INCLUDING DIANHYDROGALACTITOL AND ANALOGS TO TREAT NEOPLASTIC DISEASE AND CANCER STEM CELLS INCLUDING GLIOBLASTOMA MULTFORME AND MEDULLOBLASTOMA,The use of dianhydrogalactitol provides a novel therapeutic modality for the treatment of glioblastoma multiforme and medulloblastoma. Dianhydrogalactitol acts as an alkylating agent on DNA that creates N7 methylation. Dianhydrogalactitol is effective in suppressing the growth of cancer stem cells and is active against tumors that are refractory to temozolomide
Medical support for delivery of a treatment to the nose,"The present invention provides a wearable medical support for delivery of a treatment to the nose of a subject comprising: a nose mask formed from a heat moldable sheet of thermoplastic material, said nose mask comprises an aperture dimensioned to fit the nose of the subject, said aperture is flanked by two flaps whereby each flap is configured to be in contact with at least part of a lateral side of the nose"
"PRENATAL DOSAGE FORMS, METHODS OF ADMINISTRATION AND KITS THEREOF","Disclosed herein are prenatal dosage forms formulated for different stages of the pregnancy cycle. Also disclosed are methods of administering prenatal dosage forms to a prenatal, pregnant or lactating woman. Further disclosed are kits including prenatal dosage forms."
TBC1D1 as a marker in the response to dietary fat and obesity,"The present invention relates to the gene TBC 1 D and its use as a genetic marker in the response to dietary fat, and obesity and diabetes. TBC1D1 provides a valuable tool both for diagnostic as well as therapeutic approaches, in order to treat or prevent obesity or diabetes, in particular in response to dietary fat."
METHODS FOR CREATING THREE-DIMENSIONAL BIOSYNTHETIC TISSUE,"A method of producing bioengineered tissue includes coating a microstructured fiber with a bioink containing a plurality of living cells. The microstructured fiber is embedded with microfluidic channels defining periodic outlet apertures, a plurality of ultrasonic transducers, at least one chemical sensor, and at least one temperature sensor. The method further includes applying the coated fiber to an anatomic model of an organ. The microfluidic channels and outlet apertures of the fiber are configured to function as an artificial blood-vessel system to the bioengineered tissue, thereby supplying building material for the proliferation of the plurality of living cells, and allowing the bioengineered tissue to mature into functional tissue."
THREE DIMENSIONAL HUMAN BRAIN TUMOR MODELS,"Provided herein, in some embodiments, are human patient-derived brain tumor models and methods of use. Some aspects of the present disclosure provide human patient-derived brain tumor models that include cell sources (e.g., tissues) from a wide range of molecular subgroups. In some embodiments, the brain tumor models are pediatric brain tumor models."
"ELEVATED HEDGEHOG PATHWAY ACTIVITY IN DIGESTIVE SYSTEM TUMORS, AND METHODS OF TREATING DIGESTIVE SYSTEM TUMORS HAVING ELEVATED HEDGEHOG PATHWAY ACTIVITY","Elevated Hedgehog (Hh) pathway activity, including ligand stimulated Hh pathway activity, was detected in digestive tract cancers, including esophagus, stomach, biliary tract, and pancreatic cancer, and determined to be associated with growth and proliferation of the cancer cells. Accordingly, methods are provided for treating a digestive tract cancer associated with elevated Hh pathway activity by reducing or inhibiting the Hh pathway activity. Also provided are methods of determining the responsiveness of a digestive tract tumor to treatment with an Hh pathway antagonist."
Individualizable dosage form,"Provided embodiments include a final dosage form, an article of manufacture, and a method. A final dosage form for delivering a medicament to an animal is provided. The final dosage form includes an outer layer. The final dosage form also includes a release element configured in a first medicament-release state and modifiable to a second medicament-release state upon an ex vivo exposure to a stimulus. The final dosage form further includes a chamber at least substantially within the outer layer and configured to carry the medicament. The final dosage form further includes a containment element configured to retain the medicament within the final dosage form until the dosage form is administered to the animal. The final dosage form includes the medicament. The final dosage form may include an indicator element configured to indicate an exposure of the release element to the stimulus."
Modifiable dosage form,"Provided embodiments include a final dosage form, an article of manufacture, and method. A final dosage form for delivering a medicament to an animal is provided. The final dosage form includes an outer layer. The final dosage form also includes a release element configured in a first medicament-release state and modifiable to a second medicament-release state upon an ex vivo exposure to a stimulus. The final dosage form further includes a chamber at least substantially within the outer layer and configured to carry the medicament. The final dosage form includes the medicament. The final dosage form may include an indicator element configured to indicate an exposure of the release element to the stimulus."
THREE DIMENSIONAL HUMAN BRAIN TUMOR MODELS,"Provided herein, in some embodiments, are human patient-derived brain tumor models and methods of use."
Ex vivo modifiable particle or polymeric based final dosage form,"Provided embodiments include a final dosage form, an article of manufacture, and method. A final dosage form for administering a medicament to an animal is provided. The final dosage form includes the medicament, and a particle or polymeric material. The particle or polymeric material carries the medicament and is configured in a medicament-retention state. In medicament-retention state, the medicament is substantially not bioavailable to the animal if the final dosage form is administered to the animal. The particle or polymeric material is modifiable ex vivo by an exposure to a stimulus to a medicament-release state. In the medicament-release state, the medicament is substantially bioavailable to the animal if the final dosage form is administered to the animal."
Modifying a medicament availability state of a final dosage form,"Provided embodiments include a final dosage form, an article of manufacture, and method. A method of modifying a medicament availability state of a final dosage form is provided. The method includes initiating an exposure of a particle or polymeric material of the final dosage form to a stimulus. The initiated stimulus is selected to transform the particle or polymeric material from a medicament-retention state to a medicament-release state."
TBC1D1 AS A MARKER IN THE RESPONSE TO DIETARY FAT AND OBESITY,"The present invention relates to the gene TBC1D1 and its use as a genetic marker in the response to dietary fat, and obesity and diabetes. TBClDl provides a valuable tool both for diagnostic as well as therapeutic approaches, in order to treat or prevent obesity or diabetes, in particular in response to dietary fat."
Ex vivo activatable final dosage form,"Provided embodiments include a final dosage form, an article of manufacture, and method. A final dosage form for administering a medicament to an animal is provided. The final dosage form includes an outer layer, the medicament, and a release element. The release element configured in a medicament-holding state and modifiable ex vivo to a medicament-discharge state by an exposure to a stimulus. In an embodiment, the final dosage form includes a chamber substantially within the outer layer and carrying the medicament. In an embodiment, the final dosage form includes an indicator element configured to indicate an exposure of the release element to the stimulus."
PHARMACEUTICAL COMPOSITIONS FOR ORAL TREATMENT OF DIABETES,"The present invention relates to pharmaceutical compositions for oral delivery comprising at least two bioactive proteins associated with glucose metabolism, selected from the group consisting of insulin, proinsulin and C-Peptide in a delivery vehicle adapted for oral administration that provides portal delivery of bioactive proteins. The exemplary pharmaceutical compositions comprise an oil-based matrix comprising solid particulate matter suspended therein, wherein the particulate matter comprises a polysaccharide non-covalently associated with silica particles having a hydrophobic surface, wherein the polysaccharide and silica particles are non-covalently associated with the at least two bioactive proteins. The present invention further provides therapeutic uses of said pharmaceutical compositions."
